no.,section,chapter,heading,sub-heading,tariff,description
1,01,01,0101,010121,01012100,"Horses; live, purebred breeding animals - Purebred breeding animals"
2,01,01,0101,010129,01012900,"Horses; live, other than purebred breeding animals - Other"
3,01,01,0101,010130,01013090,Asses; live - Other
4,01,01,0101,010190,01019000,Mules and hinnies; live-  Other
5,01,01,0102,010221,01022100,"Cattle; live, purebred breeding animals - Purebred breeding animals"
6,01,01,0102,010229,01022911,"Cattle; live, other than purebred breeding animals -  Oxen"
7,01,01,0102,010229,01022919,"Cattle; live, other than purebred breeding animals -  Other"
8,01,01,0102,010229,01022990,"Cattle; live, other than purebred breeding animals - Other"
9,01,01,0102,010231,01023100,"Buffalo; live, purebred breeding animals - Purebred breeding animals"
10,01,01,0102,010239,01023900,"Buffalo; live, other than purebred breeding animals - Other"
11,01,01,0102,010290,01029010,"Bovine animals; live, other than cattle and buffalo - Purebred breeding animals"
12,01,01,0102,010290,01029090,"Bovine animals; live, other than cattle and buffalo - Other"
13,01,01,0103,010310,01031000,"Swine; live, purebred breeding animals-  Purebred breeding animals"
14,01,01,0103,010391,01039100,"Swine; live, other than purebred breeding animals, weighing less than 50kg -  Weighing less than 50 kg"
15,01,01,0103,010392,01039200,"Swine; live, other than purebred breeding animals, weighing 50kg or more -  Weighing 50 kg or more"
16,01,01,0104,010410,01041010,Sheep; live - Purebred breeding animals
17,01,01,0104,010410,01041090,Sheep; live - Other
18,01,01,0104,010420,01042010,Goats; live - Purebred breeding animals
19,01,01,0104,010420,01042090,Goats; live - Other
20,01,01,0105,010511,01051110,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g - Breeding fowls"
21,01,01,0105,010511,01051190,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g - Other"
22,01,01,0105,010512,01051210,"Poultry; live, turkeys, weighing not more than 185g - Breeding turkeys"
23,01,01,0105,010512,01051290,"Poultry; live, turkeys, weighing not more than 185g - Other"
24,01,01,0105,010513,01051310,"Poultry; live, ducks, weighing not more than 185g - Breeding ducklings"
25,01,01,0105,010513,01051390,"Poultry; live, ducks, weighing not more than 185g - Other"
26,01,01,0105,010514,01051490,"Poultry; live, geese, weighing not more than 185g - Other"
27,01,01,0105,010515,01051590,"Poultry; live, guinea fowls, weighing not more than 185g - Other"
28,01,01,0105,010594,01059410,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g - Breeding fowls, other than fighting cocks"
29,01,01,0105,010594,01059441,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g -  Weighing not more than 2 kg"
30,01,01,0105,010594,01059449,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g -  Other"
31,01,01,0105,010594,01059491,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g -  Weighing not more than 2 kg"
32,01,01,0105,010594,01059499,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g -  Other"
33,01,01,0105,010599,01059910,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g - Breeding ducks"
34,01,01,0105,010599,01059920,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g - Other ducks"
35,01,01,0105,010599,01059940,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g - Other geese, turkeys and guinea fowls"
36,01,01,0106,010611,01061100,"Mammals; live, primates -  Primates"
37,01,01,0106,010612,01061200,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia) - Whales, dolphins and porpoises (mammals of the order"
38,01,01,0106,010613,01061300,"Mammals; live, camels and other camelids (Camelidae) - Camels and other camelids (Camelidae)"
39,01,01,0106,010614,01061400,"Mammals; live, rabbits and hares - Rabbits and hares"
40,01,01,0106,010619,01061900,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares -"
41,01,01,0106,010620,01062000,Reptiles; live (including snakes and turtles) - Reptiles (including snakes and turtles)
42,01,01,0106,010631,01063100,"Birds; live, birds of prey - Birds of prey"
43,01,01,0106,010632,01063200,"Birds; live, Psittaciformes - Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
44,01,01,0106,010633,01063300,"Birds; live, ostriches; emus (Dromaius novaehollandiae) - Ostriches; emus (Dromaius novaehollandiae)"
45,01,01,0106,010639,01063900,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae) - Other"
46,01,01,0106,010641,01064100,"Insects; live, bees - Bees"
47,01,01,0106,010649,01064900,"Insects; live, other than bees - Other"
48,01,01,0106,010690,01069000,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects - Other"
49,01,02,0201,020110,02011000,"Meat; of bovine animals, carcasses and halfcarcasses, fresh or chilled-  Carcasses and halfcarcasses"
50,01,02,0201,020120,02012000,"Meat; of bovine animals, cuts with bone in (excluding carcasses and halfcarcasses), fresh or chilled-  Other cuts with bone in"
51,01,02,0201,020130,02013000,"Meat; of bovine animals, boneless cuts, fresh or chilled-  Boneless"
52,01,02,0202,020210,02021000,"Meat; of bovine animals, carcasses and halfcarcasses, frozen-  Carcasses and halfcarcasses"
53,01,02,0202,020220,02022000,"Meat; of bovine animals, cuts with bone in (excluding carcasses and halfcarcasses), frozen-  Other cuts with bone in"
54,01,02,0202,020230,02023000,"Meat; of bovine animals, boneless cuts, frozen-  Boneless"
55,01,02,0203,020311,02031100,"Meat; of swine, carcasses and halfcarcasses, fresh or chilled -  Carcasses and halfcarcasses"
56,01,02,0203,020312,02031200,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled - Hams, shoulders and cuts thereof, with bone in"
57,01,02,0203,020319,02031900,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled -  Other"
58,01,02,0203,020321,02032100,"Meat; of swine, carcasses and halfcarcasses, frozen - Carcasses and halfCarcasses"
59,01,02,0203,020322,02032200,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen - Hams, shoulders and cuts thereof, with bone in"
60,01,02,0203,020329,02032900,"Meat; of swine, n.e.c. in item no. 0203.2, frozen - Other"
61,01,02,0204,020410,02041000,"Meat; of sheep, lamb carcasses and halfcarcasses, fresh or chilled-  Carcasses and halfcarcasses of lamb, fresh or chilled"
62,01,02,0204,020421,02042100,"Meat; of sheep, carcasses and halfcarcasses (excluding carcasses and halfcarcasses of lamb), fresh or chilled -   Carcasses and halfcarcasses"
63,01,02,0204,020422,02042200,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and halfcarcasses), fresh or chilled -  Other cuts with bone in"
64,01,02,0204,020423,02042300,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled -  Boneless"
65,01,02,0204,020430,02043000,"Meat; of sheep, lamb carcasses and halfcarcasses, frozen-  Carcasses and halfcarcasses of lamb, frozen"
66,01,02,0204,020441,02044100,"Meat; of sheep, carcasses and halfcarcasses (excluding carcasses and halfcarcasses of lamb), frozen -  Carcasses and halfcarcasses"
67,01,02,0204,020442,02044200,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and halfcarcasses), frozen -   Other cuts with bone in"
68,01,02,0204,020443,02044300,"Meat; of sheep (including lamb), boneless cuts, frozen -  Boneless"
69,01,02,0204,020450,02045000,"Meat; of goats, fresh, chilled or frozen-  Meat of goats"
70,01,02,0206,020610,02061000,"Offal, edible; of bovine animals, fresh or chilled-  Of bovine animals, fresh or chilled"
71,01,02,0206,020621,02062100,"Offal, edible; of bovine animals, tongues, frozen -  Tongues"
72,01,02,0206,020622,02062200,"Offal, edible; of bovine animals, livers, frozen -  Livers"
73,01,02,0206,020629,02062900,"Offal, edible; of bovine animals, (other than tongues and livers), frozen -  Other"
74,01,02,0206,020630,02063000,"Offal, edible; of swine, fresh or chilled-  Of swine, fresh or chilled"
75,01,02,0206,020641,02064100,"Offal, edible; of swine, livers, frozen -  Livers"
76,01,02,0206,020649,02064900,"Offal, edible; of swine, (other than livers), frozen -   Other"
77,01,02,0206,020680,02068000,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled-  Other, fresh or chilled"
78,01,02,0206,020690,02069000,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen-  Other, frozen"
79,01,02,0207,020711,02071100,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled -  Not cut in pieces, fresh or chilled"
80,01,02,0207,020712,02071200,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen -   Not cut in pieces, frozen"
81,01,02,0207,020713,02071300,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled -  Cuts and offal, fresh or chilled"
82,01,02,0207,020714,02071410,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen - Wings"
83,01,02,0207,020714,02071420,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen - Thighs"
84,01,02,0207,020714,02071430,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen - Livers"
85,01,02,0207,020714,02071491,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen -  Mechanically deboned or separated meat"
86,01,02,0207,020714,02071499,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen -  Other"
87,01,02,0207,020724,02072400,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled -  Not cut in pieces, fresh or chilled"
88,01,02,0207,020725,02072500,"Meat and edible offal; of turkeys, not cut in pieces, frozen -  Not cut in pieces, frozen"
89,01,02,0207,020726,02072600,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled - Cuts and offal, fresh or chilled"
90,01,02,0207,020727,02072710,"Meat and edible offal; of turkeys, cuts and offal, frozen - Livers"
