category,text,category_id,clean_text
01,"horses; live, pure-bred breeding animals",0,horses live pure bred breeding animals
01,"horses; live, other than pure-bred breeding animals",0,horses live pure bred breeding animals
01,asses; live,0,asses live
01,mules and hinnies; live,0,mules hinnies live
01,"cattle; live, pure-bred breeding animals",0,cattle live pure bred breeding animals
01,"cattle; live, other than pure-bred breeding animals",0,cattle live pure bred breeding animals
01,"buffalo; live, pure-bred breeding animals",0,buffalo live pure bred breeding animals
01,"buffalo; live, other than pure-bred breeding animals",0,buffalo live pure bred breeding animals
01,"bovine animals; live, other than cattle and buffalo",0,bovine animals live cattle buffalo
01,"swine; live, pure-bred breeding animals",0,swine live pure bred breeding animals
01,"swine; live, other than pure-bred breeding animals, weighing less than 50kg",0,swine live pure bred breeding animals weighing less kg
01,"swine; live, other than pure-bred breeding animals, weighing 50kg or more",0,swine live pure bred breeding animals weighing kg
01,sheep; live,0,sheep live
01,goats; live,0,goats live
01,"poultry; live, fowls of the species gallus domesticus, weighing not more than 185g",0,poultry live fowls species gallus domesticus weighing g
01,"poultry; live, turkeys, weighing not more than 185g",0,poultry live turkeys weighing g
01,"poultry; live, ducks, weighing not more than 185g",0,poultry live ducks weighing g
01,"poultry; live, geese, weighing not more than 185g",0,poultry live geese weighing g
01,"poultry; live, guinea fowls, weighing not more than 185g",0,poultry live guinea fowls weighing g
01,"poultry; live, fowls of the species gallus domesticus, weighing more than 185g",0,poultry live fowls species gallus domesticus weighing g
01,"poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",0,poultry live ducks geese turkeys guinea fowls weighing g
01,"mammals; live, primates",0,mammals live primates
01,"mammals; live, whales, dolphins and porpoises (mammals of the order cetacea); manatees and dugongs (mammals of the order sirenia); seals, sea lions and walruses (mammals of the suborder pinnipedia)",0,mammals live whales dolphins porpoises mammals order cetacea manatees dugongs mammals order sirenia seals sea lions walruses mammals suborder pinnipedia
01,"mammals; live, camels and other camelids (camelidae)",0,mammals live camels camelids camelidae
01,"mammals; live, rabbits and hares",0,mammals live rabbits hares
01,"mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order cetacea); manatees, dugongs (mammals of the order sirenia); seals, sea lions, walruses (mammals of the suborder pinnipedia), camels, other camelids, rabbits and hares",0,mammals live primates whales dolphins porpoises mammals order cetacea manatees dugongs mammals order sirenia seals sea lions walruses mammals suborder pinnipedia camels camelids rabbits hares
01,reptiles; live (including snakes and turtles),0,reptiles live including snakes turtles
01,"birds; live, birds of prey",0,birds live birds prey
01,"birds; live, psittaciformes",0,birds live psittaciformes
01,"birds; live, ostriches; emus (dromaius novaehollandiae)",0,birds live ostriches emus dromaius novaehollandiae
01,"birds; live, other than birds of prey, psittaciformes, ostriches and emus (dromaius novaehollandiae)",0,birds live birds prey psittaciformes ostriches emus dromaius novaehollandiae
01,"insects; live, bees",0,insects live bees
01,"insects; live, other than bees",0,insects live bees
01,"animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",0,animals live n e c chapter mammals reptiles birds insects
01,"meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",0,meat bovine animals carcasses half carcasses fresh chilled
01,"meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",0,meat bovine animals cuts bone excluding carcasses half carcasses fresh chilled
01,"meat; of bovine animals, boneless cuts, fresh or chilled",0,meat bovine animals boneless cuts fresh chilled
01,"meat; of bovine animals, carcasses and half-carcasses, frozen",0,meat bovine animals carcasses half carcasses frozen
01,"meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",0,meat bovine animals cuts bone excluding carcasses half carcasses frozen
01,"meat; of bovine animals, boneless cuts, frozen",0,meat bovine animals boneless cuts frozen
01,"meat; of swine, carcasses and half-carcasses, fresh or chilled",0,meat swine carcasses half carcasses fresh chilled
01,"meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",0,meat swine hams shoulders cuts thereof bone fresh chilled
01,"meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",0,meat swine n e c item fresh chilled
01,"meat; of swine, carcasses and half-carcasses, frozen",0,meat swine carcasses half carcasses frozen
01,"meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",0,meat swine hams shoulders cuts thereof bone frozen
01,"meat; of swine, n.e.c. in item no. 0203.2, frozen",0,meat swine n e c item frozen
01,"meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",0,meat sheep lamb carcasses half carcasses fresh chilled
01,"meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",0,meat sheep carcasses half carcasses excluding carcasses half carcasses lamb fresh chilled
01,"meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",0,meat sheep including lamb cuts bone excluding carcasses half carcasses fresh chilled
01,"meat; of sheep (including lamb), boneless cuts, fresh or chilled",0,meat sheep including lamb boneless cuts fresh chilled
